지하철역코드,지하철역명,시군구명,위도,경도
115,청량리(서울시립대입구)역,동대문구,37.579892576268506,127.04531652547182
116,회기역,동대문구,37.58974156945736,127.05792751143423
117,용두(동대문구청)역,동대문구,37.574040303674174,127.03830077574668
118,제기동역,동대문구,37.57837228457723,127.03376046869968
119,신설동역,종로구,37.57595176742774,127.02297735704515
119,신설동역,동대문구,37.575616187037795,127.024874874607
120,장승배기역,동작구,37.50457094121145,126.9388548744508
121,숭실대입구(살피재)역,동작구,37.495908846279264,126.95398172936834
122,이수역,동작구,37.48497984927143,126.98107542952125
123,총신대입구(이수)역,동작구,37.48802792998867,126.98202481192345
123,총신대입구(이수)역,서초구,37.48802800709718,126.98253897821854
124,사당역,동작구,37.496025862429576,126.9622140265561
124,사당역,관악구,37.476173029674854,126.98108537989985
124,사당역,서초구,37.47684777968418,126.98232529707954
125,노들역,동작구,37.51247386190163,126.95299177713372
126,남성역,동작구,37.48473947477951,126.97145089485716
127,신대방삼거리역,동작구,37.49960253231366,126.9280217937874
128,흑석(중앙대입구)역,동작구,37.508819496709336,126.96371443607057
129,보라매역,영등포구,37.5000847411346,126.92002830294443
130,상도역,동작구,37.50315902197367,126.94817010008148
131,동작(현충원)역,동작구,37.5033968337691,126.97630894150379
132,노량진역,동작구,37.51392871682386,126.94091693905705
133,공덕역,마포구,37.54389405950075,126.95146102612989
134,이대역,마포구,37.55654771193129,126.94574117548295
135,합정역,마포구,37.5489925872559,126.91398300105878
136,디지털미디어시티역,은평구,37.5773468201649,126.9024010825811
136,디지털미디어시티역,마포구,37.577307063563325,126.8978893958985
137,상수역,마포구,37.54765436698118,126.92325187272023
138,애오개역,마포구,37.55341150502426,126.95665163162123
140,마포구청역,마포구,37.56427312053514,126.9025530496816
141,아현역,서대문구,37.55757398417523,126.95586323442137
141,아현역,마포구,37.557137858853544,126.95628419356812
142,월드컵경기장(성산)역,마포구,37.56996754294129,126.89893194188045
143,서강대역,마포구,37.5524619143501,126.93487463646903
144,마포역,마포구,37.53982628952342,126.94579330703158
145,망원역,마포구,37.55585910263315,126.91008718789283
146,광흥창(서강)역,마포구,37.54772792950233,126.93121362562049
147,홍대입구역,마포구,37.556734666483244,126.92455157301279
148,홍제역,서대문구,37.58899211178838,126.94391952951025
149,"신촌(경의중앙, 2호선)역",서대문구,37.55835372435452,126.9409178993463
149,"신촌(경의중앙, 2호선)역",마포구,37.55496617628845,126.93735518197812
150,가좌역,서대문구,37.56894262273896,126.91494252585488
150,가좌역,마포구,37.56852256758114,126.91454132107442
151,서대문역,중구,37.56581589193115,126.96732559311502
151,서대문역,서대문구,37.5659356710314,126.96619182964959
152,독립문역,서대문구,37.574042435212895,126.95815870261268
153,충정로(경기대입구)역,중구,37.559031229178295,126.96387828677103
153,충정로(경기대입구)역,서대문구,37.56072086986982,126.96296789790861
154,무악재역,서대문구,37.582514506179834,126.95045380750116
155,남태령역,서초구,37.46466417956047,126.98854297431377
