기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20251,11470611,신월7동,2075467,989207,1086259,324992,203353,281470,287421,343546,634684,539966,419054,235217,236067,359333,285828,293013,290392,293418,287938,288909,307121,314674
20251,11470610,신월6동,1046020,502830,543188,167255,96206,158926,179585,176460,267587,249080,214593,126916,130781,187612,137038,147760,148091,150093,147340,145983,152591,154161
20251,11470600,신월5동,2793771,1336635,1457137,443862,333703,416189,435996,423252,740771,745331,586902,332841,321311,449382,358005,396288,394731,396518,396724,398063,400309,411139
20251,11470590,신월4동,3419661,1629680,1789983,820961,305404,421313,565073,479346,827565,1010418,700317,356828,353618,530753,467728,487518,482991,485007,480459,484132,492829,506723
20251,11470580,신월3동,2694911,1361395,1333516,424753,269778,368475,423625,450888,757391,756980,573195,305487,297044,410283,351921,383132,383109,384208,378890,375013,387921,402637
20251,11470570,신월2동,3447522,1619935,1827587,733715,338575,483426,564148,495517,832143,1010780,707036,364712,362410,533025,469559,488624,487001,492591,485303,478677,496723,518605
20251,11470560,신월1동,3930134,1948174,1981960,541632,396970,577717,637879,625682,1150253,1139664,807462,424914,422235,608101,527757,557630,548785,554033,548317,544170,577706,599495
20251,11470550,목5동,4745606,2211270,2534336,1592615,398327,396184,916400,642655,799426,1223951,947408,540499,568419,832379,632952,668456,661573,661374,668807,675700,706435,703262
20251,11470540,목4동,5666185,2660113,3006073,1291164,702252,685355,917863,967230,1102321,1729191,1173409,575877,564094,843276,780338,805956,799578,797007,794772,796646,828745,843483
20251,11470530,목3동,4960297,2279690,2680607,789654,609767,832210,788826,754904,1184937,1374050,997789,536674,529788,820240,701757,702083,693127,698744,693706,695933,723245,753459
20251,11470520,목2동,6870429,3179960,3690469,1197322,910199,1182591,1088342,1010724,1481252,2051768,1461421,691209,675653,1043863,946515,969543,959042,962444,957721,951221,1017871,1052588
20251,11470510,목1동,4742299,2186174,2556125,1379448,510869,545094,925631,670717,710539,877824,906043,682057,729055,983768,563552,665610,663269,661513,675754,694329,720575,661251
20251,11440740,상암동,5213228,2522270,2690958,767876,827132,1039620,1064418,750615,763568,1148608,1133609,748070,723519,864790,594632,781890,797602,784567,809501,788818,639158,611695
20251,11440730,성산2동,6703555,2965052,3738503,1067104,1068243,1190237,1156579,972518,1248873,1982619,1417475,692691,682163,1015386,913222,948744,940056,943142,941600,942451,983732,1003830
